Processor,Transistor count,Year,Designer,Process(nm),Area (mm2),Transistordensity(tr./mm2),Transistor_Count_C
"AMD Ryzen 7 5800H(64-bit,SIMD, caches, I/O and GPU)","10,700,000,000[158]",2021,AMD,7 nm,180 mm2,"59,440,000",10700000000
Apple A15,"15,000,000,000[160][161]",2021,Apple,5 nm,107.68 mm2,"139,300,000",15000000000
Apple A17,"19,000,000,000[162]",2023,Apple,3 nm,103.8 mm²,"183,044,315",19000000000
"Apple M1 Pro(10-core, 64-bit)","33,700,000,000[163]",2021,Apple,5 nm,245 mm2[164],"137,600,000",33700000000
"Apple M1 Max(10-core, 64-bit)","57,000,000,000[165][163]",2021,Apple,5 nm,420.2 mm2[166],"135,600,000",57000000000
Power10dual-chip module (30 SMT8 cores or 60 SMT4 cores),"36,000,000,000[167]",2021,IBM,7 nm,"1,204 mm2","29,900,000",36000000000
Dimensity 9000(ARM64 SoC),"15,300,000,000[168][169]",2021,Mediatek,4 nm(TSMC N4),?,?,15300000000
"Apple M1 Ultra(dual-chip module, 2×10 cores)","114,000,000,000[170][171]",2022,Apple,5 nm,840.5 mm2[166],"135,600,000",114000000000
"IBM Telumdual-chip module (2×8 cores, 2×256 MB cache)","45,000,000,000[173][174]",2022,IBM,7 nm (Samsung),"1,060 mm2","42,450,000",45000000000
"Apple M2(deca-core 64-bit ARM64 SoC,SIMD, caches)","20,000,000,000[175]",2022,Apple,5 nm,?,?,20000000000
"Apple M3(octa-core 64-bit ARM64 SoC,SIMD, caches)","25,000,000,000[176]",2023,Apple,3 nm,?,?,25000000000
"Apple M3 Pro(dodeca-core 64-bit ARM64 SoC,SIMD, caches)","37,000,000,000[176]",2023,Apple,3 nm,?,?,37000000000
"Apple M3 Max(hexadeca-core 64-bit ARM64 SoC,SIMD, caches)","92,000,000,000[176]",2023,Apple,3 nm,?,?,92000000000
Apple A16(ARM64 SoC),"16,000,000,000[177][178][179]",2022,Apple,4 nm,?,?,16000000000
Dimensity 9200(ARM64 SoC),"17,000,000,000[180][181][182]",2022,Mediatek,4 nm(TSMC N4P),?,?,17000000000
"Qualcomm Snapdragon 8 Gen 2(octa-core ARM64 ""mobile SoC"",SIMD, caches)","16,000,000,000",2022,Qualcomm,4 nm,268 mm2,"59,701,492",16000000000
AMDEPYC Genoa (4th gen/9004 series)13-chip module (up to 96 cores and 384 MB (L3) + 96 MB (L2) cache)[183],"90,000,000,000[184][185][186]",2022,AMD,5 nm (CCD)6 nm (IOD),"1,263.34 mm²12×72.225 (CCD)396.64 (IOD)[187][188]","71,240,000",90000000000
"Apple M2 Pro(12-core 64-bit ARM64 SoC,SIMD, caches)","40,000,000,000[191]",2023,Apple,5 nm,?,?,40000000000
"Apple M2 Max(12-core 64-bit ARM64 SoC,SIMD, caches)","67,000,000,000[191]",2023,Apple,5 nm,?,?,67000000000
Apple M2 Ultra(two M2 Max dies),"134,000,000,000[7]",2023,Apple,5 nm,?,?,134000000000
AMDEPYC Bergamo (4th gen/97X4 series)9-chip module (up to 128 cores and 256 MB (L3) + 128 MB (L2) cache),"82,000,000,000[192]",2023,AMD,5 nm (CCD)6 nm (IOD),?,?,82000000000
